,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,MaritalStatus_Married,MaritalStatus_Single,CouponPerOrder
49,0,29,1,14,3,3,5,5,1,18,2,2,143,0,1,0,1,0,1,0,0,0,1,1,0,0.5
50,0,6,1,15,2,3,2,1,0,14,1,2,125,0,1,0,1,0,0,1,0,0,1,0,1,0.0
51,1,0,1,8,2,4,2,2,0,22,1,0,111,0,1,0,1,0,0,1,0,0,1,0,1,0.0
52,0,19,3,6,3,3,5,2,0,25,15,7,205,0,1,0,0,1,1,0,1,0,0,1,0,0.26666666666666666
53,0,10,1,15,3,3,2,2,0,12,2,1,123,0,1,0,1,0,1,0,0,0,1,0,1,0.5
54,0,4,1,18,3,3,2,9,1,23,1,2,139,0,1,1,0,0,1,0,0,0,1,0,0,1.0
55,0,10,1,33,3,3,4,3,0,15,1,2,123,0,1,1,0,0,1,0,0,0,1,0,1,1.0
56,1,4,3,26,2,3,4,2,1,22,1,2,131,0,1,0,0,1,1,0,0,0,1,0,1,0.0
57,0,23,1,6,2,4,3,3,0,15,1,2,137,0,1,1,0,0,0,1,0,0,1,0,0,0.0
58,0,26,1,19,2,2,5,2,0,11,1,3,145,0,1,1,0,0,1,0,0,1,0,1,0,1.0
59,0,6,1,20,2,3,4,2,0,13,1,6,128,0,1,1,0,0,1,0,0,0,1,0,0,0.0
60,0,13,1,10,2,3,3,2,0,14,9,9,290,0,1,1,0,0,1,0,0,0,0,0,0,0.1111111111111111
61,0,7,1,8,2,4,3,2,0,17,1,9,195,1,0,0,1,0,0,1,0,1,0,0,0,0.0
62,0,24,1,9,3,3,4,4,0,18,3,0,237,0,1,1,0,0,1,0,0,0,0,0,1,0.0
63,0,25,1,6,3,4,3,1,0,15,11,9,300,0,1,0,1,0,0,1,0,0,0,0,0,0.09090909090909091
64,0,10,1,15,2,3,4,2,0,16,1,3,123,0,1,1,0,0,1,0,0,0,1,0,1,1.0
65,1,0,1,29,2,4,3,4,1,13,1,1,159,0,1,0,1,0,0,1,0,1,0,0,0,1.0
66,0,10,1,13,2,2,2,5,0,14,2,2,121,1,0,1,0,0,0,1,0,0,1,1,0,0.0
67,0,18,1,8,3,4,2,10,0,23,11,8,268,1,0,1,0,0,0,1,0,0,0,0,0,0.09090909090909091
68,0,10,1,27,3,2,5,2,1,12,1,7,136,0,1,0,1,0,0,1,0,0,1,0,0,0.0
69,0,8,1,8,2,3,4,6,0,11,1,2,144,1,0,1,0,0,1,0,0,1,0,0,1,1.0
70,0,15,1,27,2,3,3,3,0,16,1,2,153,1,0,1,0,0,1,0,0,1,0,1,0,0.0
71,0,11,1,8,2,3,3,10,0,14,1,0,166,0,1,0,1,0,0,1,0,1,0,0,0,0.0
72,0,11,1,35,2,3,2,4,0,18,1,7,163,0,1,0,0,0,0,1,0,1,0,0,0,0.0
73,0,0,1,6,2,4,5,6,0,19,2,0,143,1,0,0,0,0,0,1,0,1,0,0,0,0.0
74,0,22,1,24,3,3,2,2,1,15,1,7,168,1,0,0,1,0,0,1,0,1,0,1,0,0.0
75,0,7,1,16,2,3,3,2,1,17,2,0,138,1,0,1,0,0,0,1,0,0,1,1,0,1.0
76,0,13,1,25,2,3,2,9,1,15,3,7,127,0,1,1,0,0,0,1,0,1,0,0,0,0.3333333333333333
77,1,1,1,35,3,3,5,8,1,19,1,0,167,0,1,1,0,0,0,1,0,1,0,0,0,0.0
78,1,0,3,33,2,3,2,2,0,22,1,9,176,0,1,0,0,1,1,0,1,0,0,0,0,1.0
79,0,0,1,15,2,2,4,2,1,16,2,2,123,0,1,0,1,0,0,1,0,0,1,1,0,0.0
80,0,10,1,24,3,3,2,2,0,13,1,7,122,1,0,1,0,0,1,0,0,0,1,0,1,1.0
81,0,13,1,15,3,4,2,10,0,14,1,2,149,1,0,0,1,0,0,1,0,1,0,0,0,1.0
82,0,19,1,6,3,3,5,8,0,16,1,3,194,0,1,1,0,0,0,1,1,0,0,1,0,0.0
83,1,0,3,10,2,5,2,2,0,11,9,8,204,0,1,1,0,0,0,1,1,0,0,0,0,0.7777777777777778
84,0,3,1,6,2,4,3,2,0,22,5,8,185,1,0,0,1,0,0,1,1,0,0,0,1,0.4
85,0,0,3,26,2,3,3,2,0,14,1,7,200,1,0,0,1,0,1,0,0,1,0,0,1,1.0
86,0,24,1,14,2,4,4,6,0,16,4,4,225,0,1,0,1,0,0,1,1,0,0,0,0,0.25
87,1,0,1,15,2,3,5,6,1,11,1,4,127,0,1,0,0,0,1,0,0,0,1,0,1,1.0
88,0,14,3,12,3,3,2,4,1,18,3,0,236,0,1,0,1,0,1,0,1,0,0,0,1,0.0
89,1,0,3,32,2,4,5,6,0,15,1,1,167,1,0,0,0,1,1,0,0,1,0,0,1,0.0
90,1,10,1,6,2,3,3,1,0,14,1,5,121,0,1,0,0,0,0,1,0,0,1,0,1,0.0
91,0,18,3,12,2,4,2,7,0,12,12,8,189,1,0,1,0,0,1,0,1,0,0,0,1,1.0
92,0,27,3,9,2,3,5,3,0,14,1,5,159,0,1,0,0,1,1,0,0,1,0,0,0,1.0
93,0,9,1,11,3,3,4,9,0,16,3,7,159,0,1,0,1,0,0,1,0,1,0,0,1,0.0
94,0,6,1,15,2,4,4,7,0,21,1,1,126,0,1,1,0,0,1,0,0,0,1,0,0,0.0
95,0,10,1,17,2,3,2,2,1,14,1,4,222,1,0,0,0,0,0,1,1,0,0,1,0,0.0
96,0,11,3,9,3,3,3,1,0,12,5,13,206,0,1,0,1,0,0,1,1,0,0,1,0,0.2
97,0,4,1,6,2,5,3,1,0,12,1,4,143,1,0,1,0,0,0,1,0,1,0,0,0,1.0
98,0,10,1,9,3,4,2,4,0,17,1,0,122,0,1,0,1,0,0,1,0,0,1,0,0,0.0
99,0,10,3,10,2,3,2,5,0,17,5,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0.2
100,0,2,3,6,2,3,2,2,0,14,4,1,179,1,0,1,0,0,1,0,1,0,0,0,0,1.0
101,0,8,3,6,3,3,3,2,0,14,1,8,188,1,0,0,0,1,1,0,1,0,0,0,1,1.0
102,1,0,1,15,2,4,2,2,1,13,1,1,124,0,1,1,0,0,0,1,0,0,1,0,1,0.0
103,0,25,1,8,2,4,2,8,0,15,2,2,132,0,1,0,1,0,1,0,0,0,1,0,1,0.0
104,0,10,2,12,2,3,3,9,0,17,2,2,123,0,1,1,0,0,0,1,0,0,1,0,0,1.0
105,0,23,3,6,3,3,2,4,0,15,1,6,295,0,1,1,0,0,1,0,0,0,0,1,0,1.0
106,1,0,1,15,2,3,2,6,1,13,1,4,124,0,1,1,0,0,0,1,0,0,1,0,0,0.0
107,0,16,3,22,3,3,2,6,1,22,3,9,261,0,1,0,0,1,1,0,0,0,0,0,0,0.0
108,1,0,1,8,2,3,5,8,0,20,1,7,127,0,1,0,1,0,1,0,0,0,1,0,0,1.0
109,0,25,3,8,3,4,3,2,1,18,15,12,291,1,0,0,1,0,0,1,0,0,0,0,1,0.06666666666666667
110,0,5,3,10,2,3,4,3,0,11,1,2,139,0,1,0,1,0,1,0,0,0,1,0,0,1.0
111,1,0,1,6,3,4,3,1,1,14,1,2,137,0,1,0,1,0,0,1,0,0,1,0,1,1.0
112,0,10,1,6,3,3,3,8,0,14,1,2,122,0,1,1,0,0,1,0,0,0,1,1,0,0.0
113,0,5,3,32,3,3,2,1,0,18,2,2,145,1,0,0,0,1,0,1,0,1,0,0,0,0.5
114,0,14,1,25,2,3,5,3,0,16,1,0,131,0,1,0,1,0,0,1,0,1,0,1,0,1.0
115,0,13,1,30,3,3,2,2,0,17,4,7,133,0,1,0,0,0,0,1,0,1,0,1,0,0.5
116,0,18,1,6,3,2,2,1,0,15,1,7,292,0,1,0,0,0,0,1,0,0,0,0,0,1.0
117,0,4,1,9,3,3,3,10,0,12,3,2,237,1,0,1,0,0,0,1,1,0,0,1,0,0.3333333333333333
118,0,6,1,11,2,4,2,2,0,13,1,2,129,0,1,0,1,0,1,0,0,0,1,0,0,0.0
119,0,7,1,8,2,4,5,7,0,13,5,9,160,0,1,0,1,0,0,1,0,1,0,0,0,0.0
120,0,10,1,6,2,4,5,3,0,14,1,2,139,0,1,1,0,0,1,0,0,0,1,0,0,1.0
121,0,18,1,13,3,2,3,5,0,17,1,2,164,1,0,0,1,0,0,1,0,1,0,0,0,0.0
122,1,0,1,16,3,3,3,7,0,11,1,0,200,1,0,1,0,0,0,1,1,0,0,1,0,1.0
123,0,12,1,8,3,3,3,1,0,25,11,4,209,1,0,0,0,0,1,0,1,0,0,0,1,0.9090909090909091
124,0,2,1,15,2,3,2,2,0,19,1,5,123,0,1,0,1,0,0,1,0,0,1,0,1,0.0
125,0,15,1,23,2,2,5,4,1,13,1,2,165,0,1,0,1,0,1,0,0,1,0,0,1,0.0
126,0,2,3,26,2,3,2,3,0,14,1,2,169,0,1,0,0,1,0,1,0,1,0,1,0,1.0
127,0,0,1,6,3,3,3,1,0,12,1,2,149,0,1,0,1,0,1,0,0,1,0,0,0,1.0
128,0,15,1,15,2,4,5,1,1,11,7,8,126,0,1,1,0,0,1,0,0,0,1,1,0,0.5714285714285714
129,0,13,1,8,2,3,3,1,0,15,3,9,294,0,1,1,0,0,0,1,0,0,0,1,0,0.0
130,0,24,1,6,2,3,2,2,0,11,1,0,127,0,1,0,1,0,0,1,0,0,1,0,0,1.0
131,1,0,1,35,3,4,4,1,0,11,1,4,135,1,0,1,0,0,0,1,0,0,1,0,1,1.0
132,0,5,1,13,2,2,4,2,0,20,1,3,128,1,0,0,1,0,0,1,0,0,1,0,0,0.0
133,0,11,3,8,2,4,2,4,0,18,7,5,152,1,0,0,1,0,0,1,0,1,0,0,0,0.8571428571428571
134,0,10,1,8,2,4,5,5,0,13,1,4,122,0,1,0,0,0,0,1,0,1,0,0,1,0.0
135,0,19,3,8,3,5,4,4,1,12,7,7,269,0,1,0,0,0,1,0,0,0,0,0,0,0.14285714285714285
136,1,0,1,8,3,3,3,3,0,11,1,0,135,0,1,0,1,0,0,1,0,0,1,0,1,1.0
137,0,2,3,8,3,4,4,3,0,19,1,0,166,0,1,1,0,0,0,1,0,1,0,0,0,0.0
138,0,4,1,29,3,4,2,1,0,21,7,8,156,0,1,1,0,0,0,1,0,1,0,0,0,0.14285714285714285
139,0,0,1,11,2,2,5,2,0,12,1,5,140,1,0,0,1,0,0,1,0,1,0,1,0,1.0
140,0,18,1,26,3,3,2,1,1,14,3,10,235,0,1,1,0,0,0,1,0,0,0,0,0,0.0
141,0,9,1,12,2,3,2,1,0,11,10,11,132,0,1,0,1,0,0,1,0,0,1,0,0,0.4
142,0,28,1,6,2,3,5,1,1,14,4,13,290,0,1,1,0,0,0,1,0,0,0,0,1,0.25
143,1,10,1,35,2,3,4,2,1,12,9,4,218,1,0,0,1,0,0,1,1,0,0,0,0,0.5555555555555556
144,0,10,1,15,3,3,2,2,0,23,1,4,121,0,1,1,0,0,0,1,0,0,1,0,0,1.0
145,0,10,3,12,3,3,2,5,0,14,1,1,165,0,1,1,0,0,0,1,0,1,0,0,0,0.0
146,0,0,1,9,3,4,3,2,0,17,1,0,132,0,1,1,0,0,0,1,0,0,1,0,1,1.0
147,0,10,1,6,0,3,2,3,1,18,3,2,236,1,0,1,0,0,1,0,1,0,0,1,0,0.0
148,0,2,1,28,3,2,4,8,0,18,6,4,220,0,1,0,1,0,1,0,1,0,0,1,0,0.8333333333333334
149,0,11,3,13,2,2,5,2,1,24,7,7,156,0,1,1,0,0,1,0,0,1,0,1,0,0.0
150,0,0,1,6,2,3,4,2,0,20,1,4,164,1,0,0,1,0,1,0,0,1,0,1,0,0.0
151,0,23,1,10,3,3,4,4,0,14,1,6,291,0,1,0,1,0,0,1,0,0,0,1,0,1.0
152,0,26,1,9,2,3,3,4,1,16,1,3,276,0,1,1,0,0,0,1,0,0,0,0,0,1.0
153,0,15,3,6,2,3,3,2,0,25,11,6,149,0,1,0,1,0,0,1,0,1,0,0,0,0.36363636363636365
154,0,2,3,8,2,3,2,2,0,18,1,9,146,1,0,0,1,0,0,1,0,1,0,0,1,0.0
155,0,28,1,26,2,3,2,4,1,19,1,8,154,0,1,0,0,0,0,1,0,1,0,0,0,1.0
156,0,0,1,17,2,3,5,2,1,13,3,3,147,1,0,1,0,0,0,1,0,1,0,0,0,0.6666666666666666
157,0,10,1,6,2,3,2,2,0,12,5,7,121,0,1,0,1,0,1,0,0,0,1,0,1,0.2
158,1,7,1,30,2,3,3,4,1,22,1,0,132,1,0,0,1,0,0,1,0,0,1,1,0,0.0
159,0,11,1,29,2,3,2,10,0,14,1,2,157,0,1,0,1,0,0,1,0,1,0,1,0,0.0
160,1,0,1,15,2,3,4,3,1,13,1,2,124,0,1,1,0,0,0,1,0,0,1,1,0,1.0
161,0,1,1,14,3,3,2,2,0,21,1,2,133,0,1,0,1,0,1,0,0,0,1,0,1,0.0
162,0,22,1,16,2,3,5,10,1,11,1,2,287,1,0,0,1,0,1,0,0,0,0,0,1,1.0
163,0,9,1,9,1,3,4,5,0,12,7,7,145,0,1,0,0,0,0,1,0,1,0,0,1,0.8571428571428571
164,0,4,3,11,2,3,4,2,0,11,2,2,128,1,0,0,0,1,1,0,0,0,1,1,0,0.0
165,1,0,3,10,2,4,2,2,1,12,7,4,158,0,1,0,0,1,0,1,0,1,0,0,1,1.0
166,0,10,1,15,2,3,2,2,1,12,1,2,123,1,0,1,0,0,0,1,0,0,1,0,0,0.0
167,0,15,3,32,3,3,4,6,0,14,3,8,235,1,0,0,0,1,1,0,0,0,0,0,0,0.6666666666666666
168,1,10,1,9,2,3,3,2,0,13,1,0,114,0,1,0,1,0,0,1,0,0,1,0,1,0.0
169,0,8,3,22,3,3,4,1,0,15,6,9,180,0,1,0,0,1,0,1,1,0,0,0,0,0.5
170,0,9,1,24,2,2,2,5,0,18,1,0,137,1,0,0,1,0,0,1,0,0,1,0,0,0.0
171,0,24,1,8,2,5,4,6,0,18,1,2,155,0,1,1,0,0,0,1,0,1,0,1,0,0.0
172,0,14,3,8,2,3,4,2,0,19,3,4,260,0,1,0,1,0,0,1,0,0,0,0,1,0.3333333333333333
173,0,0,3,16,3,4,3,2,0,12,1,0,112,0,1,1,0,0,1,0,0,0,1,0,1,1.0
174,0,1,1,22,3,2,5,1,0,19,1,7,157,0,1,1,0,0,0,1,0,1,0,0,1,0.0
175,0,4,3,13,3,2,2,5,0,11,7,7,169,0,1,0,0,0,0,1,0,1,0,0,0,0.42857142857142855
176,0,12,1,6,2,2,2,1,0,17,3,7,196,0,1,1,0,0,0,1,1,0,0,1,0,1.0
177,0,9,1,30,2,3,4,8,0,15,1,8,157,1,0,0,1,0,1,0,0,1,0,0,0,0.0
178,0,5,3,13,3,4,3,2,0,14,4,8,155,0,1,0,1,0,0,1,0,1,0,0,0,0.25
179,0,11,1,31,2,4,4,4,0,17,1,4,221,0,1,0,1,0,1,0,1,0,0,0,0,1.0
180,0,30,1,6,2,5,3,3,1,13,1,2,157,1,0,0,1,0,0,1,0,1,0,1,0,1.0
181,0,4,1,11,2,3,2,1,1,12,1,3,148,0,1,0,0,0,0,1,0,0,1,0,0,0.0
182,0,4,2,8,3,4,5,4,0,12,1,0,164,0,1,0,0,0,0,1,0,1,0,0,0,0.0
183,0,18,1,13,3,3,5,2,0,18,9,11,152,1,0,0,1,0,0,1,1,0,0,1,0,0.5555555555555556
184,0,4,1,8,2,3,2,1,1,18,2,2,127,0,1,0,1,0,0,1,0,0,1,1,0,0.5
185,0,6,1,11,3,3,4,7,0,11,8,4,219,1,0,0,1,0,1,0,1,0,0,0,0,0.25
186,0,12,1,16,2,3,5,2,1,14,11,10,271,0,1,1,0,0,0,1,0,0,0,0,0,0.09090909090909091
187,0,16,1,15,2,3,2,1,0,19,1,7,125,1,0,0,1,0,1,0,0,0,1,0,1,0.0
188,0,22,1,6,2,4,3,8,1,12,3,7,240,0,1,0,0,0,1,0,0,0,0,0,1,0.3333333333333333
189,1,15,1,14,2,4,4,3,0,15,7,7,149,0,1,1,0,0,0,1,0,1,0,0,0,1.0
190,0,0,1,15,2,3,4,2,1,12,1,2,125,0,1,0,1,0,1,0,0,0,1,0,1,0.0
191,0,5,3,14,3,4,4,2,1,11,11,9,152,0,1,0,0,0,1,0,0,1,0,0,0,0.5454545454545454
192,0,0,3,8,3,3,3,2,1,11,1,4,145,0,1,0,1,0,0,1,0,1,0,0,1,1.0
193,0,4,3,13,3,3,2,5,0,12,1,7,175,0,1,0,0,1,0,1,0,1,0,1,0,0.0
194,0,5,1,8,3,2,2,8,0,16,1,7,151,0,1,1,0,0,1,0,0,1,0,0,1,1.0
195,1,0,1,8,2,5,2,6,1,13,2,2,135,0,1,1,0,0,0,1,0,0,1,0,0,1.0
196,0,3,1,34,3,3,2,2,0,13,1,9,158,0,1,1,0,0,1,0,0,1,0,0,0,0.0
197,0,4,1,13,2,4,3,2,0,24,8,9,189,1,0,0,1,0,1,0,1,0,0,0,0,0.375
198,0,12,1,5,2,4,2,2,0,15,13,3,293,1,0,1,0,0,0,1,0,0,0,0,0,0.6923076923076923
199,1,2,3,9,2,3,3,5,1,18,1,0,152,0,1,1,0,0,1,0,0,1,0,0,0,1.0
200,0,6,3,16,2,4,2,4,0,14,1,1,147,1,0,0,0,1,0,1,0,1,0,0,1,1.0
201,0,20,1,11,2,3,3,5,0,11,1,1,283,0,1,0,1,0,0,1,0,0,0,0,0,1.0
202,0,16,1,16,2,4,3,2,0,11,1,0,153,1,0,0,1,0,1,0,0,1,0,1,0,0.0
203,0,0,3,6,3,3,4,1,1,13,1,4,163,1,0,0,0,1,0,1,0,1,0,0,0,0.0
204,0,27,1,26,2,3,3,4,0,12,1,3,149,1,0,0,1,0,1,0,0,1,0,0,1,1.0
205,0,16,1,13,2,3,5,9,0,16,1,0,200,0,1,0,1,0,1,0,1,0,0,0,0,1.0
206,0,18,1,14,3,3,2,10,0,14,9,8,137,0,1,0,0,0,0,1,0,1,0,0,0,0.7777777777777778
207,0,13,3,6,2,5,2,3,1,22,1,2,175,0,1,1,0,0,0,1,0,1,0,0,0,1.0
208,1,10,1,14,3,5,5,2,1,11,1,7,121,0,1,0,0,0,0,1,0,0,1,0,0,1.0
209,0,2,1,15,1,4,2,1,0,17,2,2,140,0,1,0,0,0,0,1,0,0,1,0,1,1.0
210,0,3,3,11,1,4,3,2,0,13,1,2,161,0,1,0,0,1,1,0,0,1,0,1,0,0.0
211,0,0,3,14,2,3,4,2,0,18,1,7,162,0,1,0,0,1,1,0,0,1,0,0,0,0.0
212,0,10,1,11,3,3,2,8,0,16,1,4,163,0,1,1,0,0,0,1,0,1,0,1,0,0.0
213,0,11,1,21,3,4,2,1,1,14,2,4,215,0,1,0,1,0,0,1,1,0,0,1,0,0.5
214,0,4,1,13,2,3,2,2,1,14,4,10,171,0,1,1,0,0,1,0,1,0,0,0,1,0.5
215,0,2,3,16,2,4,4,2,1,14,1,7,183,0,1,0,0,1,1,0,0,1,0,1,0,0.0
216,0,8,1,11,3,3,4,1,0,13,1,13,181,0,1,0,0,0,0,1,1,0,0,0,1,0.0
217,0,0,1,32,2,3,2,2,0,12,1,2,129,0,1,0,1,0,0,1,0,0,1,1,0,1.0
218,0,14,1,12,3,4,4,7,1,15,1,2,160,0,1,1,0,0,0,1,0,1,0,0,1,1.0
219,0,20,3,10,2,3,3,4,0,19,1,0,130,1,0,1,0,0,0,1,0,1,0,0,1,0.0
220,0,15,1,29,2,3,2,3,0,14,3,0,260,0,1,0,1,0,1,0,0,0,0,0,1,0.0
221,0,2,3,8,3,3,3,2,0,14,1,2,146,1,0,0,1,0,0,1,0,1,0,0,0,1.0
222,0,15,2,8,2,3,3,1,1,11,1,0,127,0,1,0,0,0,0,1,0,0,1,1,0,1.0
223,0,5,1,15,3,3,4,2,0,13,1,7,124,0,1,1,0,0,1,0,0,0,1,0,0,0.0
224,0,21,3,35,3,3,3,4,0,21,1,4,225,0,1,1,0,0,1,0,1,0,0,0,0,0.0
225,0,10,1,12,2,2,5,5,1,13,6,7,160,0,1,1,0,0,0,1,0,1,0,1,0,0.3333333333333333
226,0,3,3,31,2,3,3,8,1,12,2,2,147,1,0,0,0,0,1,0,0,1,0,0,0,0.5
227,0,0,3,6,2,3,3,2,0,17,7,7,153,0,1,0,1,0,0,1,0,1,0,0,0,0.2857142857142857
228,0,15,1,8,3,4,2,4,0,23,1,0,168,0,1,0,0,0,0,1,0,1,0,0,1,0.0
229,1,10,3,6,2,4,4,2,1,11,1,2,122,1,0,0,0,0,1,0,0,0,1,0,1,1.0
230,0,9,3,6,2,3,2,5,0,15,1,0,167,1,0,1,0,0,1,0,0,1,0,0,1,1.0
231,0,9,3,9,2,4,2,5,0,11,1,12,197,1,0,1,0,0,0,1,1,0,0,0,0,0.0
232,0,30,1,6,2,3,3,3,0,11,1,2,168,0,1,1,0,0,0,1,0,1,0,0,0,1.0
233,0,10,1,16,2,2,3,4,1,13,1,7,122,0,1,0,1,0,1,0,0,0,1,0,0,0.0
234,0,0,3,15,2,3,2,2,0,24,2,2,126,1,0,1,0,0,0,1,0,0,1,0,1,0.0
235,1,0,3,11,2,3,3,2,1,13,1,0,129,0,1,0,0,1,1,0,0,0,1,0,1,1.0
